code,npl,car,casa,ldr,bopo
BBCA,,,,,
BBRI,,,,,
BMRI,,,,,
BBNI,,,,,
BRIS,,,,,
BBTN,,,,,
ARTO,,,,,
BBKP,,,,,
BJBR,,,,,
BJTM,,,,,
BNGA,,,,,
BTPS,,,,,
NISP,,,,,
PNBN,,,,,
MEGA,,,,,
